"location","source","target"
"242841733-0-14660","Sturdy Shield",""
"242841733-0-14661","Resolute Triple-Chain Vizard",""
"242841733-0-14662","Resolute Rivet-Mail Vizard",""
"242841733-0-14663","Stalwart Triple-Chain Helm","Stalwart Triple-Chain Helm"
"242841733-0-14664","Stalwart Rivet-Mail Helm","Stalwart Rivet-Mail Helm"
"242841733-0-14665","Robust Brigandine Helmet",""
"242841733-0-14666","Robust Studded Helmet",""
"242841733-0-14667","Resolute Corded Hat","Resolute Corded Hat"
"242841733-0-14668","Resolute Doubled Hat","Resolute Doubled Hat"
"242841733-0-14669","Dented Vizard",""
"242841733-0-14670","Crooked Vizard",""
"242841733-0-14671","Dented Helm",""
"242841733-0-14672","Crooked Helm",""
"242841733-0-14673","Gouged Helmet",""
"242841733-0-14674","Scorched Helmet",""
"242841733-0-14675","Frayed Hat",""
"242841733-0-14676","Threadbare Hat",""
"242841733-0-14677","Trusty Axe",""
"242841733-0-14678","Stainless Axe",""
"242841733-0-14679","Trusty Mace",""
"242841733-0-14680","Stainless Mace",""
"242841733-0-14681","Trusty Sword",""
"242841733-0-14682","Stainless Sword",""
"242841733-0-14683","Trusty Wyrdsword",""
"242841733-0-14684","Stainless Wyrdsword",""
"242841733-0-14685","Trusty Battle Axe",""
"242841733-0-14686","Stainless Battle Axe",""
"242841733-0-14687","Trusty Warhammer",""
"242841733-0-14688","Stainless Warhammer",""
"242841733-0-14689","Trusty Runemaul",""
"242841733-0-14690","Stainless Runemaul",""
"242841733-0-14691","Trusty Greatsword",""
"242841733-0-14692","Stainless Greatsword",""
"242841733-0-14693","Trusty Dagger",""
"242841733-0-14694","Stainless Dagger",""
"242841733-0-14695","Trusty Dirk",""
"242841733-0-14696","Stainless Dirk",""
"242841733-0-14697","Trusty Cuirass",""
"242841733-0-14698","Stainless Cuirass",""
"242841733-0-14699","Trusty Vestplate",""
"242841733-0-14700","Stainless Vestplate",""
"242841733-0-14701","Trusty Sabatons",""
"242841733-0-14702","Stainless Sabatons",""
"242841733-0-14703","Trusty Wyrdboots",""
"242841733-0-14704","Stainless Wyrdboots",""
"242841733-0-14705","Trusty Gauntlets",""
"242841733-0-14706","Stainless Gauntlets",""
"242841733-0-14707","Trusty Witchgloves",""
"242841733-0-14708","Stainless Witchgloves",""
"242841733-0-14709","Trusty Helm",""
"242841733-0-14710","Stainless Helm",""
"242841733-0-14711","Trusty Vizard",""
"242841733-0-14712","Stainless Vizard",""
"242841733-0-14713","Trusty Greaves",""
"242841733-0-14714","Stainless Greaves",""
"242841733-0-14715","Trusty Hagreaves",""
"242841733-0-14716","Stainless Hagreaves",""
"242841733-0-14717","Trusty Pauldron",""
"242841733-0-14718","Stainless Pauldron",""
"242841733-0-14719","Trusty Shoulderfans",""
"242841733-0-14720","Stainless Shoulderfans",""
"242841733-0-14721","Trusty Girdle",""
"242841733-0-14722","Stainless Girdle",""
"242841733-0-14723","Trusty Sashgird",""
"242841733-0-14724","Stainless Sashgird",""
"242841733-0-14725","Homespun Jerkin",""
"242841733-0-14726","Common Jerkin",""
"242841733-0-14727","Homespun Shoes",""
"242841733-0-14728","Common Shoes",""
"242841733-0-14729","Homespun Gloves",""
"242841733-0-14730","Common Gloves",""
"242841733-0-14731","Homespun Hat",""
"242841733-0-14732","Common Hat",""
"242841733-0-14733","Homespun Breeches",""
"242841733-0-14734","Common Breeches",""
"242841733-0-14735","Homespun Epaulets",""
"242841733-0-14736","Common Epaulets",""
"242841733-0-14737","Homespun Sash",""
"242841733-0-14738","Common Sash",""
"242841733-0-14739","Rustic Bow",""
